Id_studenta,Imie,Nazwisko,Uczelnia,Miejsce_zam,Rok_studiow,Dochod_na_osobe,,,miasta,
1,Jadwiga,Baranowska,Uniwersytet Krolewski,Krosno,I,2382,,,Krosno,Krosno
2,Zofia,Chorzowska,Akademia Sztuk Pieknych,Pulawy,II,1549,,,Pulawy,Pulawy
3,Katarzyna,Bilska,Uniwersytet Krolewski,Lubliniec,I,3037,,,Lubliniec,Lubliniec
4,Michal,Rada,Politechnika Krolewska,Glucholazy,II,1712,,,Glucholazy,Glucholazy
5,Pawel,Milek,Politechnika Informatyczno-Elektroniczna,Koniakow,IV,1459,,,Koniakow,Koniakow
6,Marcin,Biernat,Politechnika Krolewska,Kogutek,I,931,,,Kogutek,Kogutek
7,Gracja,Bijakowska,Politechnika Informatyczno-Elektroniczna,Raciborz,V,1482,,,Raciborz,Raciborz
8,Wojciech,Zaluski,Politechnika Krolewska,Jejkowice,II,2141,,,Jejkowice,Jejkowice
9,Martyn,Kowalski,Uniwersytet Krolewski,Mikolow,V,2713,,,Mikolow,Mikolow
10,Jolanta,Ochala,Uniwersytet Krolewski,Rybnik,V,3332,,,Rybnik,Rybnik
11,Przemyslaw,Planeta,Akademia Sztuk Pieknych,Bedzin,V,444,,,Bedzin,Bedzin
12,Barbara,Michalska,Politechnika Krolewska,Ruda Slaska,I,2368,,,Ruda Slaska,Ruda Slaska
13,Kamil,Berakacz,Politechnika Informatyczno-Elektroniczna,Krapkowice,I,1765,,,Krapkowice,Krapkowice
14,Teresa,Kuc,Uniwersytet Krolewski,Jaworzno,II,2602,,,Jaworzno,Jaworzno
15,Matylda,Zielinska,Uniwersytet Sportu i Turystyki,Wisla,I,2949,,,Wisla,Wisla
16,Wieslawa,Babiarz,Uniwersytet Krolewski,Oswiecim,II,1576,,,Oswiecim,Oswiecim
17,Natalia,Barton,Wyzsza Szko�a Techniczna,Sosnowiec,I,409,,,Sosnowiec,Sosnowiec
18,Alojzy,Wolak,Uniwersytet Sportu i Turystyki,Rybnik,IV,1767,,,Rybnik,Szczyrk
19,Daniel,Lisiecki,Uniwersytet Krolewski,Szczyrk,I,1867,,,Szczyrk,Rzeszow
20,Adam,Bzinkowski,Politechnika Krolewska,Rzeszow,I,782,,,Rzeszow,Piotrkow Trybunalski
21,Andrzej,Tokarski,Uniwersytet Krolewski,Piotrkow Trybunalski,I,2580,,,Piotrkow Trybunalski,Myslowice
22,Gabriela,Kolska,Uniwersytet Krolewski,Myslowice,I,1111,,,Myslowice,Nowy Targ
23,Bogumila,Kolodziej,Uniwersytet Krolewski,Nowy Targ,II,630,,,Nowy Targ,Rajcza
